uid,score,acc
3759,-159.8533804,24.81398514
4078,-159.9955591,25.80150988
2798,-160.015818,20.68724028
4075,-160.0205941,24.44046128
3055,-160.0270933,24.08275025
3002,-160.0288236,22.52030227
4010,-160.0396305,24.91133456
3835,-160.0409566,24.90681235
4030,-160.0532997,24.46717683
3839,-160.0696173,24.66009148
2795,-160.0728591,21.55790663
2990,-160.0744506,22.2248976
2731,-160.0751268,20.83914152
3758,-160.0820642,24.48603
3051,-160.0834207,23.7891417
3006,-160.0858157,24.32502416
3050,-160.0894632,23.1109908
3007,-160.1119678,24.23082073
3823,-160.1126241,24.66475443
3771,-160.1184666,24.27307698
4026,-160.1224115,24.05025106
3003,-160.1242258,24.02290943
3770,-160.1244511,24.8347476
4011,-160.1262007,24.39896803
3838,-160.137603,24.92324724
3070,-160.1389683,24.75396528
2799,-160.142691,22.50718647
2991,-160.1447188,24.84179769
2746,-160.145612,22.24901636
4091,-160.155795,24.14351718
3054,-160.1582426,23.71002673
3818,-160.1583179,25.48213114
2987,-160.1607259,23.05721033
2814,-160.1614547,24.98226449
2747,-160.1638238,22.50234615
3067,-160.164561,24.22301388
2810,-160.1662098,22.67761752
4074,-160.1850508,25.24507229
3819,-160.1888777,24.75568157
2750,-160.1915964,24.33595492
3754,-160.1918796,23.86281075
4014,-160.1943645,24.37861489
3066,-160.19607,23.9839444
4090,-160.2029302,24.45085113
3774,-160.2042749,25.01779716
3775,-160.2103986,24.52239705
4027,-160.213993,24.47078581
2751,-160.2152869,24.68345802
4095,-160.2179244,24.4336434
2811,-160.2182992,23.53763383
3755,-160.22939,24.13634868
2735,-160.2434419,22.964603
3071,-160.2535174,24.06923087
3822,-160.2569157,25.3315383
4094,-160.2787782,24.62847379
2986,-160.2879049,21.86509886
2794,-160.3208253,19.62099698
2815,-160.3219214,24.87668214
2734,-160.3383289,20.78188172
2730,-160.3554849,8.935325597
3834,-160.3726228,25.61332441
4015,-160.3885366,24.15271992
4079,-160.3888014,25.28798083
4031,-160.4098614,24.92314728
3514,-160.7953096,25.69639568
2538,-160.7999654,21.24821332
1710,-160.8146082,21.83710653
2030,-160.8328906,24.21300911
1706,-160.8423298,15.90097182
1966,-160.8436283,23.9746812
3738,-160.8473619,23.28650287
1791,-160.8629231,24.48691598
2478,-160.8856634,22.26312152
1722,-160.8929868,22.64496877
2555,-160.89309,23.51126279
2542,-160.896086,23.83008859
2026,-160.9017857,23.69006149
3994,-160.9047086,23.25348942
2783,-160.9120819,22.32376711
4062,-160.913904,24.37871884
3582,-160.9159952,25.90822312
3751,-160.9211274,24.52256385
1979,-160.9224115,24.21655402
2874,-160.9292969,23.53688688
3999,-160.9315596,23.76266206
2718,-160.9316142,21.79773065
3498,-160.9330166,24.29182577
2782,-160.9369393,22.29417505
1982,-160.942713,24.59719813
1775,-160.9448978,23.68682201
3739,-160.9485313,23.42655129
1983,-160.9495753,24.31300071
2495,-160.9498038,23.51721498
2490,-160.9508036,22.98617652
3503,-160.951725,23.96403037
3802,-160.9564559,23.76715837
3583,-160.9566116,25.03830148
2047,-160.9592152,23.79264007
3810,-160.9607429,22.58280079
2494,-160.9615883,23.79934164
4058,-160.963118,24.87383997
1771,-160.9642494,23.56998839
1787,-160.9644223,24.91317441
1786,-160.9645244,23.70473472
