Rows,Cumulative Hypervolume
1-5,53669682.36000001
1-10,55853666.70000001
1-15,56591124.38000002
1-20,56597367.82000002
1-25,56674173.58000002
1-30,56966382.12000002
1-35,57160499.34000002
1-40,57177801.84000002
1-45,57177801.84000002
1-50,57634130.46000002
1-55,57679867.560000025
1-60,57854771.52000002
1-65,57854771.52000002
1-70,57854771.52000002
1-75,57854771.52000002
1-80,57996485.73000002
1-85,57996485.73000002
1-90,57996485.73000002
1-95,57996485.73000002
1-100,57996485.73000002
1-105,57996485.73000002
1-110,57996485.73000002
1-115,57996485.73000002
1-120,57996485.73000002
1-125,57996485.73000002
1-130,57996485.73000002
1-135,57996485.73000002
1-140,58190328.06000002
1-145,58190328.06000002
1-150,58291175.97000002
1-155,58320174.06000002
1-160,58320174.06000002
